flow_duration,packet_count,byte_count,protocol,label,packets_per_second
3.69449,67.0,32756,TCP,benign,18.1351
181.34161,2595.0,2885640,UDP,suspicious,14.31
6.05867,30.0,16326,TCP,benign,4.9516
5.54082,61.0,43414,TCP,benign,11.0092
0.79929,101.0,54627,UDP,benign,126.3629
8.18406,78.0,52352,TCP,benign,9.5307
,74.0,45896,TCP,benign,4.4501
0.16422,2.0,102,TCP,suspicious,12.1785
6.67068,47.0,26307,TCP,benign,7.0458
1.1128,24.0,18439,TCP,benign,21.5672
8.21387,64.0,40941,TCP,benign,7.7917
1.49104,52.0,28961,TCP,benign,34.875
297.13359,1307.0,1786669,udp,suspicious,4.3987
114.6851,4705.0,6365865,UDP,suspicious,41.0254
3.31967,,740,TCP,benign,0.3012
0.83353,69.0,41608,TCP,benign,82.7803
7.15891,,32773,TCP,benign,6.8446
53.00621,1732.0,2152876,udp,suspicious,32.6754
6.13685,19.0,11051,TCP,benign,3.0961
111.8906,4163.0,5428552,UDP,suspicious,37.206
84.52652,3932.0,5386840,UDP,suspicious,46.5179
1.23861,,42198,TCP,benign,62.1664
0.24677,1.0,51,Tcp,suspicious,4.0524
203.16633,1482.0,1570920,UDP,suspicious,7.2945
1.16508,53.0,34283,udp,benign,45.4905
0.07813,4.0,216,TCP,suspicious,51.1945
2.6659,,51202,UDP,benign,35.6352
0.33739,1.0,44,TCP,suspicious,2.9639
4.74473,69.0,47391,TCP,benign,14.5425
,59.0,42433,TCP,benign,77.0403
10.40595,56.0,47729,UDP,benign,5.3815
10.78769,,28725,TCP,benign,5.0057
26.55494,1183.0,1327326,UDP,suspicious,44.5492
1.63643,55.0,27502,TCP,benign,33.6097
8.8786,45.0,28476,TCP,benign,5.0684
0.66965,62.0,42645,TCP,benign,92.586
1.79117,36.0,21558,TCP,benign,20.0985
136.98818,3524.0,4870168,udp,suspicious,25.7248
7.56,57.0,26399,TCP,benign,7.5397
0.40961,2.0,80,TCP,suspicious,4.8827
151.38787,3117.0,3939888,UDP,suspicious,20.5895
221.80397,2360.0,2827280,udp,suspicious,10.64
1.01868,43.0,17261,udp,benign,42.2116
0.06556,2.0,100,TCP,suspicious,30.5056
126.81806,1409.0,1569626,UDP,suspicious,11.1104
1.13002,67.0,36324,UDP,benign,59.2909
2.99867,72.0,38047,UDP,benign,24.0106
216.96238,1583.0,2194038,UDP,suspicious,7.2962
,71.0,44781,TCP,benign,35.3898
19.05097,12.0,5693,TCP,benign,0.6299
1.61707,32.0,21032,TCP,benign,19.7889
1.79881,21.0,13807,TCP,benign,11.6744
6.16595,62.0,34176,TCP,benign,10.0552
0.75395,77.0,50504,TCP,benign,102.1289
44.1383,3537.0,3915459,UDP,suspicious,80.1345
14.10347,1265.0,1481315,udp,suspicious,89.6943
1.77482,43.0,26164,TCP,benign,24.2278
2.6787,58.0,26000,TCP,benign,21.6523
0.22476,55.0,36200,UDP,benign,244.7014
6.08194,38.0,27438,TCP,benign,6.248
3.63281,47.0,27020,TCP,benign,12.9377
250.88189,2599.0,3394294,UDP,suspicious,10.3595
5.06877,21.0,12325,TCP,benign,4.143
0.3576,60.0,33787,TCP,benign,167.7843
5.99094,54.0,34647,TCP,benign,9.0136
2.38109,52.0,27379,TCP,benign,21.8387
69.81762,3097.0,3611102,UDP,suspicious,44.3584
12.12427,44.0,19026,TCP,benign,3.6291
15.26865,38.0,22931,TCP,benign,2.4888
7.6246,60.0,26224,TCP,benign,7.8693
0.95517,60.0,42209,TCP,benign,62.8162
1.24344,41.0,17558,TCP,benign,32.9729
,40.0,30868,TCP,benign,7.4538
5.18348,45.0,28444,TCP,benign,8.6814
38.56352,63.0,40410,TCP,benign,1.6337
2.64484,67.0,49697,TCP,benign,25.3323
6.64151,69.0,32370,TCP,benign,10.3892
12.84376,41.0,31177,TCP,benign,3.1922
7.466,30.0,18012,TCP,benign,4.0182
0.25432,1.0,48,TCP,suspicious,3.932
1.78731,64.0,37414,TCP,benign,35.808
0.92443,61.0,37338,Tcp,benign,65.9869
1.02071,25.0,16534,TCP,benign,24.4929
0.26996,33.0,21106,TCP,benign,122.2389
0.2338,69.0,40849,Tcp,benign,295.1301
,49.0,33650,TCP,benign,12.1139
1.2457,24.0,14811,TCP,benign,19.2662
17.07043,52.0,31571,TCP,benign,3.0462
1.39152,54.0,34330,TCP,benign,38.8064
0.43425,4.0,232,TCP,suspicious,9.2113
25.57467,,44526,TCP,benign,3.2454
0.01963,3.0,177,TCP,suspicious,152.8248
10.61025,24.0,14647,UDP,benign,2.262
,71.0,51910,TCP,benign,17.0455
0.63111,66.0,41979,TCP,benign,104.577
-1.0,13.0,7276,TCP,benign,8.4285
219.22444,2193.0,2416686,UDP,suspicious,10.0034
1.50519,18.0,11551,UDP,benign,11.9587
282522.00186,3271.0,4360243,UDP,suspicious,11.5779
0.08654,28.0,15010,TCP,benign,323.5503
0.4788,,10256,Tcp,benign,43.8597
229.12339,4843.0,5990791,UDP,suspicious,21.1371
3.61911,53.0,27646,TCP,benign,14.6445
1.37523,17.0,11224,TCP,benign,12.3616
4.2169,38.0,26619,UDP,benign,9.0114
21.48546,2611.0,3412577,UDP,suspicious,121.5241
5.0987,47.0,29051,TCP,benign,9.218
176.66299,3714.0,4122540,UDP,suspicious,21.0231
122.38419,2964.0,4069572,UDP,suspicious,24.2188
0.71075,49.0,29416,UDP,benign,68.9411
0.19159,57.0,33282,TCP,benign,297.5148
200.13055,1777.0,2349194,UDP,suspicious,8.8792
,22.0,13767,TCP,benign,18.7506
44.87326,3279.0,3728223,UDP,suspicious,73.0725
8.12832,31.0,16593,UDP,benign,3.8138
0.04653,57.0,34087,tcp,benign,1225.0494
151.9519,2134.0,2793406,UDP,suspicious,14.0439
5.29409,59.0,31438,TCP,benign,11.1445
0.39884,2.0,100,TCP,suspicious,5.0145
44.09765,1204.0,1511020,UDP,suspicious,27.303
0.3659,3.0,126,TCP,suspicious,8.1989
2.59038,31.0,24334,TCP,benign,11.9674
8.15251,63.0,46195,TCP,benign,7.7277
55.47305,2085.0,2274735,UDP,suspicious,37.5858
0.21582,,51,TCP,suspicious,4.6335
29.37281,2972.0,3887376,UDP,suspicious,101.182
2.23138,21.0,15519,TCP,benign,9.4112
9.19267,54.0,36263,UDP,benign,5.8742
13.84927,53.0,27926,UDP,benign,3.8269
284.91955,1171.0,1624177,UDP,suspicious,4.1099
4.79834,68.0,39496,TCP,benign,14.1716
0.85035,65.0,37102,TCP,benign,76.4395
4.01214,14.0,8101,TCP,benign,3.4894
3.53455,,18971,TCP,benign,9.6193
2.72672,7.0,3281,TCP,benign,2.5672
9.89385,43.0,30006,TCP,benign,4.3461
7.69338,69.0,43192,Tcp,benign,8.9687
0.26884,2.0,90,TCP,suspicious,7.4395
288.69686,1707.0,1845267,UDP,suspicious,5.9128
0.39057,1.0,44,TCP,suspicious,2.5604
3.54131,58.0,36802,TCP,benign,16.3781
4.07104,20.0,11624,TCP,benign,4.9127
3.80261,62.0,33871,TCP,benign,16.3046
2.93523,21.0,13372,TCP,benign,7.1545
6.06462,40.0,23568,TCP,benign,6.5956
0.2584,,13043,TCP,benign,96.7488
2.56523,47.0,30843,TCP,benign,18.322
8.41578,51.0,29043,UDP,benign,6.06
,65.0,35787,TCP,benign,25.1181
5.45185,19.0,12693,TCP,benign,3.4851
1.7932,60.0,35050,TCP,benign,33.4598
4.4606,42.0,27855,UDP,benign,9.4158
0.25574,1.0,49,TCP,suspicious,3.9102
1.0233,61.0,32143,Tcp,benign,59.6111
2.544,38.0,12154,UDP,benign,14.9371
166.71792,1311.0,1761984,UDP,suspicious,7.8636
5.99153,33.0,19534,TCP,benign,5.5078
0.59558,73.0,49843,TCP,benign,122.5691
5.83685,1.0,575,tcp,benign,0.1713
8.82075,,17825,Tcp,benign,3.2877
153.82706,4750.0,6498000,UDP,suspicious,30.8788
5.35792,51.0,20151,TCP,benign,9.5186
9.95596,52.0,24753,TCP,benign,5.223
139.86349,2574.0,2767050,UDP,suspicious,18.4037
174.52768,1836.0,2467584,UDP,suspicious,10.5198
-1.0,3085.0,4004330,UDP,suspicious,15.3214
4.73162,79.0,43106,Tcp,benign,16.6962
0.16471,3.0,168,TCP,suspicious,18.2137
13.73979,50.0,37485,TCP,benign,3.6391
18.14038,69.0,48167,tcp,benign,3.8037
6.88506,34.0,21423,Tcp,benign,4.9382
2.95379,35.0,25824,UDP,benign,11.8492
0.38565,2.0,98,TCP,suspicious,5.1861
3.76521,4.0,2576,UDP,benign,1.0624
4.92857,61.0,32678,TCP,benign,12.3768
1.35853,49.0,27591,TCP,benign,36.0685
1.84072,64.0,41565,TCP,benign,34.7691
0.43041,4.0,180,TCP,suspicious,9.2935
0.12516,2.0,92,TCP,suspicious,15.9794
0.40017,1.0,53,TCP,suspicious,2.499
9.73502,61.0,35029,UDP,benign,6.266
2.31392,101.0,53328,TCP,benign,43.6488
4.93933,50.0,16220,TCP,benign,10.1228
16.96391,57.0,29282,TCP,benign,3.3601
0.17206,4.0,164,TCP,suspicious,23.2473
0.27835,1.0,52,TCP,suspicious,3.5926
1.33276,,27282,TCP,benign,33.0143
,2998.0,3177880,UDP,suspicious,10.2235
9.061,,42708,TCP,benign,6.1803
,3344.0,4046240,UDP,suspicious,68.3005
209.47913,1060.0,1149040,UDP,suspicious,5.0602
9.81211,63.0,44443,TCP,benign,6.4206
20.06075,30.0,18676,UDP,benign,1.4955
5.99081,45.0,31589,UDP,benign,7.5115
1.59842,29.0,8830,TCP,benign,18.1429
13.88416,78.0,40084,TCP,benign,5.6179
7.90956,72.0,38297,TCP,benign,9.1029
0.17226,4.0,196,TCP,suspicious,23.2202
0.22811,,144,TCP,suspicious,13.1516
0.00517,40.0,32533,UDP,benign,7732.789
4.34396,33.0,16176,TCP,benign,7.5967
0.35743,2.0,92,TCP,suspicious,5.5955
0.22926,2.0,88,TCP,suspicious,8.7238
7.01619,56.0,33828,TCP,benign,7.9815
65.53641,1949.0,2399219,UDP,suspicious,29.7392
