flow_duration,packet_count,byte_count,protocol,label,packets_per_second
96.4636,,2012185,udp,suspicious,15.6017
46.99535,2636.0,3007676,UDP,suspicious,56.0907
1.23671,54.0,27421,TCP,benign,43.6643
249.17554,2169.0,2552913,UDP,suspicious,8.7047
69.18542,2876.0,3796320,UDP,suspicious,41.5695
1.69306,77.0,46597,TCP,benign,45.4797
0.0978,3.0,147,TCP,suspicious,30.6755
,38.0,28519,UDP,benign,3.9958
27.18236,9.0,2850,TCP,benign,0.3311
2.27875,52.0,38418,TCP,benign,22.8195
0.19025,3.0,123,TCP,suspicious,15.7691
2.4565,37.0,30011,TCP,benign,15.0621
0.41548,3.0,162,tcp,suspicious,7.2206
1.23125,59.0,30670,TCP,benign,47.9188
15.57499,40.0,18072,TCP,benign,2.5682
26.94944,51.0,36525,TCP,benign,1.8924
1.06345,19.0,11461,Tcp,benign,17.8664
1.82783,25.0,16809,TCP,benign,13.6774
16.53777,64.0,39019,TCP,benign,3.8699
1.47996,35.0,21683,TCP,benign,23.6493
0.29155,3.0,141,Tcp,suspicious,10.2899
,1078.0,1136212,UDP,suspicious,10.1901
,2863.0,3515764,UDP,suspicious,245.5742
2.42412,,33912,TCP,benign,23.5137
2.36113,,47353,TCP,benign,30.0703
12.1418,42.0,24562,TCP,benign,3.4591
1.14938,67.0,47285,TCP,benign,58.2922
7.31518,35.0,17928,tcp,benign,4.7846
,72.0,41221,TCP,benign,7.8456
78.6047,,4122788,UDP,suspicious,49.8571
,3.0,144,TCP,suspicious,88.6466
3.13383,52.0,31649,Tcp,benign,16.5931
2.20343,56.0,42661,UDP,benign,25.415
,57.0,30159,TCP,benign,7.0894
0.06714,2.0,80,TCP,suspicious,29.7905
0.3583,39.0,26192,TCP,benign,108.8459
0.3016,,18206,TCP,benign,109.4168
0.26247,4.0,208,TCP,suspicious,15.2401
19.4086,3634.0,4404408,UDP,suspicious,187.2366
3.91455,61.0,27209,TCP,benign,15.5829
13.27133,56.0,28841,TCP,benign,4.2196
3.66411,62.0,37765,TCP,benign,16.9209
8.42687,,33687,UDP,benign,5.9334
0.24416,2.0,106,Tcp,suspicious,8.1915
2.44736,42.0,25742,TCP,benign,17.1614
2.47768,,21242,tcp,benign,16.1442
0.67169,79.0,43625,UDP,benign,117.6134
0.23152,31.0,19184,UDP,benign,133.8951
220.24454,3155.0,3230720,UDP,suspicious,14.325
0.20371,93.0,42559,TCP,benign,456.5392
1.36024,45.0,25313,TCP,benign,33.0823
0.1374,57.0,35702,Tcp,benign,414.8349
0.47342,2.0,114,Tcp,suspicious,4.2246
164.30518,2929.0,3752049,udp,suspicious,17.8266
4.70589,9.0,6364,Tcp,benign,1.9125
2.8302,54.0,30401,TCP,benign,19.0799
0.89292,26.0,16642,TCP,benign,29.1181
277.72046,1063.0,1372333,UDP,suspicious,3.8276
0.80296,71.0,43789,TCP,benign,88.423
3.45463,80.0,55018,TCP,benign,23.1573
5.37057,59.0,25143,TCP,benign,10.9858
4.95004,28.0,19147,TCP,benign,5.6565
0.11244,4.0,232,TCP,suspicious,35.575
2310.88592,46.0,35084,tcp,benign,19.9058
7.4428,52.0,37243,TCP,benign,6.9866
0.02433,4.0,168,TCP,suspicious,164.3982
28.30162,1470.0,1602300,UDP,suspicious,51.9405
267.25506,4119.0,5173464,UDP,suspicious,15.4122
6.48039,9.0,7165,UDP,benign,1.3888
16.04391,18.0,8753,UDP,benign,1.1219
4.62101,37.0,16995,TCP,benign,8.0069
6.81372,35.0,18976,TCP,benign,5.1367
,84.0,46457,TCP,benign,11.5741
0.20583,,21481,TCP,benign,189.4769
0.28535,2.0,82,TCP,suspicious,7.0088
2.07232,24.0,14452,TCP,benign,11.5812
0.99013,60.0,36546,TCP,benign,60.5982
188.36874,,2050910,UDP,suspicious,9.0355
5.83178,19.0,10748,TCP,benign,3.258
1.61429,35.0,23525,TCP,benign,21.6814
2.20004,33.0,17968,TCP,benign,14.9997
2.43566,51.0,34285,UDP,benign,20.9389
0.25158,1.0,41,TCP,suspicious,3.9748
8.76823,80.0,49102,TCP,benign,9.1238
0.6483,65.0,40710,TCP,benign,100.2628
0.29061,,171,TCP,suspicious,10.323
2.2531,66.0,32234,TCP,benign,29.293
0.89722,60.0,42209,TCP,benign,66.873
3.70815,43.0,17303,TCP,benign,11.5961
11.68061,84.0,51023,TCP,benign,7.1914
2.31791,37.0,24066,tcp,benign,15.9626
165.48506,3869.0,4553813,UDP,suspicious,23.3798
2.79922,49.0,27015,TCP,benign,17.5049
10.1832,36.0,17660,TCP,benign,3.5352
0.275,23.0,12401,TCP,benign,83.637
0.11035,4.0,216,TCP,suspicious,36.2473
,55.0,39383,TCP,benign,7.3098
143.56414,2953.0,2979577,UDP,suspicious,20.5692
0.34544,1.0,42,TCP,suspicious,2.8949
18.13095,73.0,42923,TCP,benign,4.0263
